time,PT-04C,PT-04B,PT-04A,DPT-07
15421.0,22.4,22.7,22.6,24.2
15451.0,22.4,22.7,22.6,24.6
15481.0,22.4,22.7,22.6,24.6
15511.0,22.4,22.7,22.6,24.7
15541.0,22.4,22.7,22.6,24.8
15571.0,22.4,22.7,22.6,24.0
15601.0,22.4,22.7,22.6,23.5
15631.0,22.4,22.7,22.6,23.7
15661.0,22.4,22.7,22.6,23.7
15691.0,22.4,22.7,22.6,23.8
15721.0,22.4,22.7,22.6,23.7
15751.0,22.4,22.7,22.6,23.7
15781.0,22.4,22.7,22.6,23.7
15811.0,22.4,22.7,22.6,23.9
15841.0,22.4,22.7,22.6,24.0
15871.0,22.4,22.7,22.6,24.0
15901.0,22.4,22.7,22.6,24.0
15931.0,22.4,22.7,22.6,23.8
15961.0,22.4,22.7,22.6,23.7
15991.0,22.4,22.7,22.6,23.7
16021.0,22.4,22.7,22.6,24.0
16051.0,22.4,22.7,22.6,24.5
16081.0,22.4,22.7,22.6,24.7
16111.0,22.4,22.7,22.6,24.7
16141.0,22.4,22.7,22.6,24.7
16171.0,22.4,22.7,22.6,24.5
16201.0,22.4,22.7,22.6,24.4
16231.0,22.4,22.7,22.6,23.9
16261.0,22.4,22.7,22.6,23.7
16291.0,22.4,22.7,22.6,23.7
16321.0,22.4,22.7,22.6,23.8
16351.0,22.4,22.7,22.6,23.8
16381.0,22.3,22.6,22.6,23.8
16411.0,22.3,22.6,22.6,23.8
16441.0,22.3,22.6,22.5,23.7
16471.0,22.2,22.5,22.5,23.7
16501.0,22.2,22.5,22.5,23.6
16531.0,22.2,22.5,22.3,23.6
16561.0,22.1,22.4,22.3,23.5
16591.0,22.1,22.4,22.3,23.7
16621.0,22.1,22.4,22.3,24.0
16651.0,22.1,22.4,22.3,24.4
16681.0,22.1,22.4,22.3,24.6
16711.0,22.1,22.4,22.2,24.6
16741.0,22.1,22.4,22.2,24.5
16771.0,22.1,22.4,22.2,24.5
16801.0,22.1,22.4,22.2,24.4
16831.0,22.1,22.4,22.2,24.1
16861.0,22.1,22.4,22.2,23.8
16891.0,22.1,22.4,22.2,23.8
16921.0,22.1,22.4,22.2,23.7
16951.0,22.1,22.4,22.2,23.9
16981.0,22.1,22.4,22.2,23.7
17011.0,22.1,22.4,22.2,23.5
17041.0,22.1,22.4,22.2,23.5
17071.0,22.1,22.4,22.2,23.5
17101.0,22.1,22.4,22.2,23.5
17131.0,22.1,22.4,22.2,23.5
17161.0,22.1,22.4,22.2,23.7
17191.0,22.1,22.4,22.2,24.9
17221.0,22.1,22.4,22.2,25.7
17251.0,22.1,22.4,22.2,24.3
17281.0,22.1,22.4,22.2,23.6
17311.0,22.1,22.4,22.3,23.8
17341.0,22.1,22.4,22.3,24.1
17371.0,22.2,22.5,22.5,24.3
17401.0,22.2,22.5,22.5,24.3
17431.0,22.2,22.5,22.5,24.1
17461.0,22.3,22.5,22.6,23.7
17491.0,22.3,22.6,22.6,23.7
